potras,doxodsn,natdox,nalog,ssber,denras,fakt,kvzv,dhpens
21801.16,25330.16,0.0,0.0,2500.0,22830.16,2500.0,672.207277,1
161596.11,180996.11,14480.3,0.0,19000.0,161996.11,19000.0,790.519834,0
84384.2,96949.2,0.0,9000.0,2500.0,94449.2,2500.0,738.869003,0
69171.29,118270.29,0.0,15000.0,32500.0,85770.29,32500.0,738.869003,0
194694.11,218725.11,12821.86,12000.0,6500.0,212225.11,6500.0,1269.13579,0
57726.99,71478.55,0.0,9000.0,2500.0,68978.55,2500.0,774.20422,0
48310.08,52940.08,0.0,0.0,2500.0,50440.08,2500.0,672.207277,1
37207.56,41234.56,0.0,0.0,2500.0,38734.56,2500.0,672.207277,1
62274.57,114301.57,0.0,15000.0,34000.0,80301.57,34000.0,738.869003,0
75078.31,81462.31,0.0,0.0,2500.0,78962.31,2500.0,738.869003,0
102859.26,109623.16,18128.21,0.0,4702.9,104920.26,4702.9,1370.270506,0
77150.61,123255.61,0.0,27300.0,16000.0,107255.61,16000.0,1370.270506,0
23182.84,28768.84,0.0,0.0,2500.0,26268.84,2500.0,672.207277,1
82310.69,123913.97,0.0,11700.0,26500.0,97413.97,26500.0,753.692265,0
40279.6,51880.6,1200.0,0.0,2500.0,49380.6,2500.0,672.207277,1
38022.58,41587.58,0.0,0.0,2500.0,39087.58,2500.0,672.207277,1
87209.24,97079.24,7281.36,0.0,2500.0,94579.24,2500.0,1370.270506,0
76150.57,120093.24,0.0,15000.0,24951.67,95141.57,24951.67,753.692265,0
40155.38,52110.18,4600.0,0.0,8866.21,43243.97,8866.21,672.207277,1
119963.55,126854.01,7169.04,0.0,2500.0,124354.01,2500.0,753.692265,1
43474.92,47891.92,0.0,0.0,2500.0,45391.92,2500.0,774.20422,1
44835.54,49422.09,0.0,0.0,2500.0,46922.09,2500.0,672.207277,1
98330.04,101289.94,9309.06,0.0,2000.0,99289.94,2000.0,461.774347,1
73710.54,81210.54,2520.62,7500.0,0.0,81210.54,0.0,946.482091,0
93810.47,104610.47,4049.24,7800.0,15000.0,101610.47,3000.0,461.774347,0
30938.35,33438.35,2174.83,0.0,2500.0,30938.35,2500.0,474.34167,1
110417.35,130756.75,2913.3,7800.0,12500.0,118256.75,12500.0,461.774347,0
65331.88,127735.28,4049.24,7800.0,54550.0,73185.28,54550.0,733.813485,0
82593.81,113343.81,4734.57,6200.0,0.0,113343.81,0.0,461.774347,0
32754.91,41104.91,0.0,5850.0,2500.0,38604.91,2500.0,411.84989,0
61482.29,92722.49,5377.6,5850.0,25300.0,67422.49,25300.0,461.774347,0
23082.26,25082.26,7615.41,0.0,2000.0,23082.26,2000.0,946.482091,0
29294.09,30794.09,4241.15,0.0,1000.0,29794.09,1000.0,411.84989,1
82480.8,148197.8,5364.74,38317.0,24500.0,123697.8,24500.0,461.774347,0
38983.38,70883.38,3273.13,10800.0,21100.0,49783.38,21100.0,474.34167,0
145614.89,158001.89,5568.99,11700.0,300.0,157701.89,300.0,461.774347,0
144651.38,202651.38,5540.0,10500.0,47500.0,155151.38,47500.0,484.337968,0
30319.62,30319.62,890.42,0.0,0.0,30319.62,0.0,411.84989,1
102513.78,112813.78,4151.88,7800.0,2500.0,110313.78,2500.0,753.839127,0
88190.35,102121.03,4366.26,10530.0,2500.0,99621.03,2500.0,839.541278,0
119439.83,172339.83,3586.29,15600.0,37300.0,135039.83,37300.0,777.57777,0
90567.11,118567.11,17335.16,19500.0,7500.0,111067.11,7500.0,753.839127,0
81536.93,120036.59,5592.52,15600.0,22300.0,97736.59,22300.0,733.813485,0
67963.3,82483.3,6902.85,7020.0,7500.0,74983.3,7500.0,946.482091,0
64313.48,64313.48,2721.4,0.0,0.0,64313.48,0.0,474.34167,0
27022.14,28022.14,3790.54,0.0,1000.0,27022.14,1000.0,411.84989,1
66247.98,83887.98,8563.75,10140.0,7500.0,76387.98,7500.0,753.839127,0
45228.92,54046.92,5702.97,5850.0,2500.0,51546.92,2500.0,474.34167,0
41257.66,54557.66,4241.15,10800.0,2500.0,52057.66,2500.0,474.34167,0
50020.59,80720.59,5961.68,5200.0,25500.0,55220.59,25500.0,474.34167,0
90466.36,116366.36,5185.7,15600.0,10300.0,106066.36,10300.0,733.813485,0
40629.7,50929.7,2847.6,7800.0,2500.0,48429.7,2500.0,474.34167,0
63793.61,67856.49,0.0,0.0,2500.0,65356.49,2500.0,591.531949,0
39341.84,45907.44,0.0,0.0,2500.0,43407.44,2500.0,538.163165,1
44134.34,53303.78,0.0,0.0,7500.0,45803.78,7500.0,619.82101,0
55395.77,73594.61,0.0,9600.0,2500.0,71094.61,2500.0,1236.765652,0
100633.3,133198.9,0.0,27000.0,2500.0,130698.9,2500.0,603.399322,0
44829.39,50322.11,5556.69,0.0,2500.0,47822.11,2500.0,538.163165,1
56036.8,71739.04,0.0,0.0,7500.0,64239.04,7500.0,619.82101,1
105318.49,162081.37,0.0,47700.0,7500.0,154581.37,7500.0,958.872145,0
49708.08,63735.44,0.0,0.0,12500.0,51235.44,12500.0,591.531949,1
43396.36,47459.24,0.0,0.0,2500.0,44959.24,2500.0,538.163165,1
61540.7,85975.14,3777.42,18600.0,2500.0,83475.14,2500.0,619.82101,0
48572.29,63435.17,8226.23,9600.0,2500.0,60935.17,2500.0,1236.765652,0
83194.17,87754.33,0.0,0.0,2500.0,85254.33,2500.0,619.82101,1
45607.21,63959.45,0.0,13650.0,2500.0,61459.45,2500.0,619.82101,0
60392.48,67461.3,0.0,0.0,2500.0,64961.3,2500.0,619.82101,1
91253.58,113237.48,0.0,7767.0,2500.0,110737.48,2500.0,603.399322,0
92154.37,97727.1,5608.89,0.0,2500.0,95227.1,2500.0,603.399322,0
84158.73,94810.97,1707.41,5100.0,2500.0,92310.97,2500.0,1097.026375,0
46811.33,57792.13,0.0,0.0,2500.0,55292.13,2500.0,538.163165,1
60148.45,106534.11,2058.68,0.0,21500.0,85034.11,21500.0,603.399322,1
100719.36,105315.04,0.0,0.0,2500.0,102815.04,2500.0,603.399322,0
64900.6,69496.28,0.0,0.0,2500.0,66996.28,2500.0,619.82101,0
79304.46,87071.31,7909.03,0.0,2500.0,84571.31,2500.0,619.82101,1
32717.14,37744.5,0.0,0.0,2500.0,35244.5,2500.0,538.163165,1
125702.2,286316.74,0.0,43149.0,115831.66,170485.08,115831.66,8595.011204,0
51836.8,55864.16,0.0,0.0,2500.0,53364.16,2500.0,1236.765652,0
52712.25,68060.13,0.0,0.0,7500.0,60560.13,7500.0,619.82101,0
43604.61,51276.77,0.0,0.0,2500.0,48776.77,2500.0,538.163165,1
85941.01,158911.65,0.0,22800.0,43450.0,115461.65,43450.0,958.872145,0
186879.72,227423.16,0.0,7500.0,26374.0,201049.16,26374.0,958.872145,0
177276.22,211926.22,0.0,16080.0,2500.0,209426.22,2500.0,370.344857,0
157934.79,177389.79,1000.0,10440.0,2500.0,174889.79,2500.0,3780.314072,0
139538.57,150952.57,16764.54,0.0,2500.0,148452.57,2500.0,588.521325,0
82105.68,91120.68,0.0,0.0,2500.0,88620.68,2500.0,363.06109,1
181565.83,227995.83,11138.49,10680.0,33800.0,194195.83,33800.0,588.521325,0
85194.43,96086.43,0.0,4200.0,2500.0,93586.43,2500.0,363.06109,0
